Timestamp,close,high,low,open,volume
1401203042,559.4799,559.5599,559.3200,559.3900,3700
1401203133,559.3301,559.4900,559.3301,559.4460,1900
1401203161,559.7900,559.9300,559.4200,559.5220,5700
1401203276,559.9812,560.0200,559.7700,559.7700,16300
1401203282,560.1000,560.1200,559.7900,559.8900,4600
1401203347,559.9200,560.0500,559.8601,559.9108,1800
1401203400,559.9300,560.0000,559.7600,559.8610,6200
1401203477,560.0950,560.2100,559.8510,559.9300,4200
1401203523,560.1990,560.3000,560.0300,560.0800,2300
1401203585,560.1900,560.4100,560.1300,560.2000,6100
1401203644,559.8700,560.2000,559.6900,560.1100,10100
1401203714,559.8000,560.0000,559.7100,559.7900,2000
1401203760,559.8100,560.0500,559.7300,560.0500,3700
1401203822,559.2900,559.6900,559.0000,559.6900,4600
1401203907,559.0419,559.2700,559.0419,559.1301,1300
1401203942,559.0250,559.2800,558.9100,559.1500,4400
1401204001,558.8550,558.9800,558.7600,558.9600,3200
1401204061,558.5980,558.9490,558.5980,558.9300,2600
1401204147,558.5000,558.6599,558.5000,558.6599,1100
1401204239,558.8100,558.8100,558.4440,558.4440,6200
1401204244,559.0300,559.1100,558.5800,558.5920,2900
1401204310,558.8000,558.9800,558.6700,558.9800,4500
1401204374,558.4100,558.8000,558.3900,558.6401,5500
1401204421,558.3000,558.7000,558.3000,558.7000,3900
1401204492,558.2000,558.3000,558.0050,558.3000,6000
1401204540,558.0201,558.3500,558.0201,558.0800,1400
1401204614,558.5700,558.5700,558.1700,558.1700,3000
1401204660,558.4600,558.5799,558.3200,558.5799,2800
1401204733,558.6400,558.6400,558.5240,558.5400,1300
1401204799,558.9980,559.0600,558.8800,558.8800,4200
1401204850,559.0380,559.1400,558.9700,559.1400,2700
1401204910,558.6600,559.0900,558.4300,559.0900,4600
1401204964,558.8400,558.9320,558.5400,558.5400,600
1401205020,558.8800,558.8800,558.6800,558.6800,1900
1401205083,558.9000,559.1298,558.7500,558.8201,4000
1401205143,559.0303,559.1800,558.8500,558.9750,3200
1401205210,559.3200,559.3400,559.1897,559.1897,1800
1401205319,559.1300,559.2500,558.8100,559.1120,6200
1401205320,559.1100,559.1400,558.8700,559.1300,1900
1401205387,559.0450,559.1400,558.8300,559.1200,2100
1401205452,558.9450,559.0575,558.8300,558.9000,2700
1401205510,558.9200,559.1300,558.8000,559.1100,2100
1401205564,558.5400,558.7500,558.4100,558.7500,1900
1401205632,559.1100,559.1100,558.5200,558.5600,1400
1401205700,558.7600,558.8400,558.7600,558.8400,600
1401205769,558.9300,558.9300,558.7600,558.7600,900
1401205804,558.6900,558.9300,558.6900,558.9300,1100
1401205861,558.6000,558.6890,558.4900,558.4900,1300
1401205932,558.3900,558.4900,558.3900,558.4100,1300
1401205982,558.2000,558.4899,558.0500,558.4899,3800
1401206097,558.5700,558.5700,558.0800,558.1600,1200
1401206105,558.4800,558.6100,558.4800,558.6100,1800
1401206162,558.4022,558.4600,558.2400,558.4600,2300
1401206230,558.4100,558.6000,558.3200,558.3800,1100
1401206285,558.5150,558.6600,558.3700,558.3700,3300
1401206343,558.6300,558.6300,558.4200,558.6100,1100
1401206409,558.4900,558.5499,558.4000,558.5200,1100
1401206479,558.1900,558.4500,558.1900,558.4350,1400
1401206524,557.9120,558.2600,557.8900,558.1400,9700
1401206630,558.3896,558.3896,558.0000,558.0000,600
1401206641,558.3800,558.4200,558.2400,558.2400,1800
1401206722,558.5100,558.5100,558.4164,558.4164,700
1401206761,558.7800,558.7800,558.5900,558.5900,1200
1401206877,559.0100,559.0100,558.5101,558.5101,3900
1401206880,559.0800,559.1500,558.8450,558.9800,2100
1401206997,559.4600,559.4900,559.1100,559.1100,4000
1401207002,559.6420,559.6600,559.2600,559.2600,6900
1401207082,559.2640,559.6000,559.2500,559.6000,3900
1401207125,559.7100,559.7850,559.3770,559.6000,3900
1401207180,559.8600,559.9200,559.7100,559.7100,2500
1401207240,559.5910,559.7100,559.5910,559.6700,1800
1401207319,559.6100,559.8997,559.5300,559.6300,4000
1401207368,559.6800,559.7000,559.5400,559.6520,1400
1401207422,559.8700,559.8700,559.7200,559.7200,700
1401207522,559.7600,559.8700,559.7600,559.8700,300
1401207541,559.6500,559.8580,559.6500,559.7550,5100
1401207604,559.5800,559.7500,559.5800,559.6400,3000
1401207682,559.6800,559.8299,559.6800,559.7300,600
1401207759,559.6700,559.7092,559.6300,559.7092,1300
1401207790,559.5300,559.7100,559.5300,559.7100,5400
1401207843,559.5500,559.6500,559.4560,559.5700,7000
1401207906,559.5200,559.6500,559.5000,559.5900,1600
1401207962,559.5600,559.6900,559.4500,559.6100,6000
1401208078,559.3290,559.6100,559.3000,559.5050,3800
1401208080,559.5000,559.5600,559.3100,559.4100,3500
1401208174,559.5991,559.6000,559.4560,559.5500,1800
1401208202,559.4500,559.7000,559.4500,559.6000,7700
1401208302,559.5650,559.5650,559.4600,559.4600,800
1401208332,559.6500,559.6500,559.4900,559.4900,1200
1401208422,559.8300,559.8300,559.6602,559.7550,600
1401208452,559.6340,559.9500,559.5900,559.7010,11000
1401208502,559.6960,559.9399,559.6480,559.6480,1500
1401208562,559.9100,559.9500,559.7500,559.7500,2200
1401208623,559.9000,559.9800,559.8100,559.9800,1200
1401208697,559.9050,560.0000,559.9050,559.9900,1400
1401208747,560.1080,560.1200,559.9500,559.9900,4300
1401208805,559.8350,560.2500,559.8350,560.2000,4100
1401208890,559.9300,559.9300,559.9300,559.9300,200
1401208921,560.0090,560.0800,559.8110,559.9050,1200
1401208994,560.0000,560.0000,560.0000,560.0000,200
1401209056,560.3150,560.3600,560.2020,560.2500,1800
1401209110,560.4300,560.4300,560.3400,560.3600,2500
1401209162,560.3700,560.4300,560.3700,560.4300,2500
1401209245,560.5280,560.5280,560.3300,560.3300,3700
1401209300,560.5400,560.5600,560.4700,560.4700,1200
1401209342,560.5600,560.6900,560.5600,560.6900,2300
1401209404,560.3500,560.6000,560.3500,560.6000,1800
1401209469,560.7200,560.7200,560.2700,560.4020,6200
1401209531,560.7300,560.9000,560.6060,560.7500,2600
1401209587,560.9600,561.0000,560.7014,560.9000,6300
1401209644,560.6430,561.0000,560.6430,560.9909,5200
1401209733,560.7300,560.7300,560.7300,560.7300,300
1401209760,560.8000,560.8200,560.7800,560.7800,1400
1401209830,560.9500,560.9500,560.8125,560.8125,400
1401209902,561.0080,561.0400,560.8200,560.8400,3200
1401209952,560.8900,561.0700,560.7600,560.9200,13700
1401210002,560.6600,561.0000,560.6600,560.9200,5600
1401210064,560.5101,560.7672,560.5101,560.5400,1500
1401210171,560.6800,560.6999,560.5591,560.6999,1200
1401210181,560.5100,560.8200,560.5100,560.7000,3600
1401210257,560.7900,560.7900,560.6200,560.6250,1600
1401210314,560.7800,560.7800,560.5400,560.7175,1200
1401210398,560.7800,560.7800,560.7600,560.7600,800
1401210429,560.6400,560.8200,560.6400,560.8000,1000
1401210497,561.0200,561.0500,560.9400,560.9500,3800
1401210549,561.1200,561.2400,561.0000,561.0000,1100
1401210607,560.8200,561.2100,560.8200,561.2000,6100
1401210673,561.0200,561.0900,561.0200,561.0400,2200
1401210733,560.9200,561.1000,560.9200,561.0600,600
1401210790,561.0000,561.1000,560.9300,560.9300,900
1401210857,560.8200,561.0800,560.8200,561.0400,1000
1401210933,560.8800,560.9000,560.8600,560.8600,800
1401210968,560.9299,560.9299,560.8200,560.8200,500
1401211022,560.7000,560.9500,560.7000,560.8404,1400
1401211085,560.7500,560.9100,560.7300,560.7500,800
1401211143,560.6350,560.8100,560.4200,560.7500,4900
1401211211,560.5700,560.6600,560.5000,560.5100,1800
1401211265,560.4000,560.5800,560.4000,560.4900,1700
1401211331,560.4600,560.5000,560.4000,560.4500,3400
1401211438,560.5400,560.5400,560.4700,560.5400,800
1401211447,560.5000,560.5590,560.4001,560.4001,800
1401211531,560.5100,560.5100,560.5100,560.5100,100
1401211566,560.7250,560.7700,560.4800,560.5600,2900
1401211649,560.9300,560.9900,560.8450,560.8750,1000
1401211691,560.7600,561.0000,560.7600,561.0000,1400
1401211752,560.7900,560.9500,560.7900,560.9500,700
1401211807,560.5700,560.6800,560.4100,560.6600,2400
1401211882,560.5110,560.6500,560.5110,560.5900,1200
1401211940,560.5400,560.6700,560.5130,560.5130,1100
1401211987,560.5200,560.6820,560.4500,560.6820,1100
1401212095,560.1790,560.4100,560.1600,560.3800,2600
1401212102,560.2300,560.3820,560.0900,560.1865,5100
1401212160,560.2550,560.3100,560.1120,560.2000,1400
1401212225,560.3850,560.4600,560.2000,560.2450,2400
1401212283,560.6000,560.6000,560.4100,560.4100,2000
1401212353,560.8400,560.8400,560.6000,560.7100,1100
1401212413,560.5456,560.7400,560.5456,560.7400,3400
1401212460,560.4400,560.4799,560.2100,560.3150,1800
1401212522,560.5100,560.6800,560.4772,560.5800,1500
1401212583,560.7600,560.8098,560.4300,560.5300,2400
1401212666,560.4800,560.8300,560.4800,560.8300,1300
1401212702,560.5600,560.7599,560.4650,560.7599,2700
1401212760,560.5700,560.7600,560.5700,560.7600,1000
1401212869,560.6700,560.6700,560.6700,560.6700,100
1401212880,560.7680,560.8800,560.5950,560.6700,2500
1401212955,560.6750,560.7900,560.6750,560.7600,700
1401213009,560.9500,560.9600,560.6800,560.6800,2700
1401213067,560.8702,560.8702,560.8702,560.8702,500
1401213155,560.9300,560.9300,560.9300,560.9300,400
1401213200,561.0700,561.0700,560.9000,560.9000,2700
1401213299,561.1900,561.2600,561.1500,561.1500,3900
1401213300,561.2500,561.2500,561.1050,561.1900,5600
1401213384,561.3400,561.3600,561.3400,561.3600,1100
1401213508,561.2700,561.2700,561.1440,561.1440,500
1401213547,561.5000,561.5000,561.2700,561.3900,1000
1401213606,561.3900,561.4700,561.2704,561.4700,2000
1401213668,561.4450,561.4800,561.3500,561.4400,1400
1401213730,561.5900,561.5900,561.4300,561.4800,9000
1401213789,561.6200,561.7500,561.6200,561.7500,500
1401213894,561.7400,561.7400,561.5750,561.6485,1600
1401213903,561.8500,561.8500,561.7399,561.7399,2400
1401213960,561.8101,561.8700,561.7000,561.8600,2400
1401214027,561.9600,561.9700,561.8300,561.9700,1400
1401214105,562.1986,562.1986,561.8900,561.9800,4200
1401214140,562.5000,562.5000,562.2100,562.2100,3100
1401214206,562.6000,562.6000,562.3900,562.5000,5400
1401214260,561.8600,562.6500,561.8600,562.5960,4900
1401214323,562.3100,562.3100,561.9650,562.0700,2400
1401214383,562.3850,562.3850,562.2603,562.2800,2000
1401214443,562.4620,562.4620,562.2800,562.4000,1100
1401214559,562.3500,562.3500,562.2600,562.2600,600
1401214578,562.1700,562.3940,562.1700,562.3700,600
1401214621,562.1000,562.3100,562.1000,562.1700,2800
1401214704,562.1860,562.1860,562.0200,562.0850,1000
1401214743,562.2200,562.2400,562.0210,562.1900,2800
1401214804,562.2540,562.3400,562.1000,562.1000,3200
1401214877,562.2800,562.2800,562.1001,562.2320,3200
1401214925,562.4895,562.5000,562.2596,562.4500,1000
1401214997,562.2650,562.2975,562.2650,562.2975,800
1401215083,562.2999,562.3500,562.2999,562.3500,600
1401215111,562.2800,562.2800,562.2200,562.2500,1000
1401215169,562.3400,562.3890,562.1600,562.2400,2000
1401215223,562.3300,562.3400,562.1600,562.1700,2800
1401215288,562.2200,562.3200,562.2120,562.2600,3300
1401215341,562.1800,562.3000,562.1500,562.2700,5400
1401215400,561.9000,562.2300,561.7900,562.2300,3200
1401215484,561.5618,561.9200,561.5618,561.8801,2200
1401215539,561.5980,561.6600,561.5800,561.6600,1000
1401215632,561.9281,562.0100,561.7500,561.7600,3500
